canal,url_canal,nome_video,url_video,data_visualizacao,part_of_day,year,month,day,day_name
ge,https://www.youtube.com/channel/UCgCKagVhzGnZcuP9bSMgMCg,CHAPECOENSE 2 X 3 CUIABÁ | MELHORES MOMENTOS | 12ª RODADA BRASILEIRÃO 2021 | ge.globoge18 de jul. de 2021 15:29:30 BRT,https://www.youtube.com/watch?v=1QGYM5n6M6o,2021-07-18 15:29:30,Noon,2021,July,18,Sunday
ESPN Brasil,https://www.youtube.com/channel/UCw5-xj3AKqEizC7MvHaIPqA,"MICHAEL FAZ GOLAÇO, DIEGO ALVES BRILHA, E FLAMENGO VENCE NA ESTREIA DE RENATO GAÚCHO NA LIBERTADORESESPN Brasil18 de jul. de 2021 13:59:52 BRT",https://www.youtube.com/watch?v=6uojvTvjhpI,2021-07-18 13:59:52,Noon,2021,July,18,Sunday
Flow Podcast,https://www.youtube.com/channel/UC4ncvgh5hFr5O83MH7-jRJg,KID BENGALA [+ EMME WHITE] - Flow Fodcast #413Flow Podcast18 de jul. de 2021 11:34:32 BRT,https://www.youtube.com/watch?v=OkFRJBA0iNo,2021-07-18 11:34:32,Morning,2021,July,18,Sunday
"Nem, Amigos Podcast",https://www.youtube.com/channel/UCzSYennmIHNpiT-t6_1LsUQ,"#06 -  REENCONTRO IGÃO E CARTOLOUCO (PODPAH) - Nem, Amigos PodcastNem, Amigos Podcast18 de jul. de 2021 11:31:00 BRT",https://www.youtube.com/watch?v=wsvuMNJA32k,2021-07-18 11:31:00,Morning,2021,July,18,Sunday
Cartoloucos,https://www.youtube.com/channel/UCfBw30ryGwSC-6YyTPseHPw,COCIELO: “YOUTUBER É TUDO INVEJOSO” - 100 PERGUNTASCartoloucos18 de jul. de 2021 11:30:55 BRT,https://www.youtube.com/watch?v=u_WPKk-rPZ0,2021-07-18 11:30:55,Morning,2021,July,18,Sunday
"Cortes Nem, Amigos! [OFICIAL]",https://www.youtube.com/channel/UCmqQ-fIk0Mock8Q99owtvzQ,"O DESIMPEDIDOS ACABOU? - CORTES DO NEM AMIGOS PODCASTCortes Nem, Amigos! [OFICIAL]18 de jul. de 2021 11:27:19 BRT",https://www.youtube.com/watch?v=gP5nBIxot6g,2021-07-18 11:27:19,Morning,2021,July,18,Sunday
Os Amiguinhos,https://www.youtube.com/channel/UCXyGbNdywPKSJ88vPKN0vgw,O Sapo Não Lava o Pé  + 1 Hora de musica infantil com Os AmiguinhosOs Amiguinhos18 de jul. de 2021 11:26:24 BRT,https://www.youtube.com/watch?v=2Vf4VhAGhlY,2021-07-18 11:26:24,Morning,2021,July,18,Sunday
TAG,https://www.youtube.com/channel/UC7uH27Tc-JsGZrVlRZnZJ2A,CONTROLE DO PS4 COM SURPRESA DENTRO 😅TAG18 de jul. de 2021 11:26:01 BRT,https://www.youtube.com/watch?v=Mnyo8lGaXxg,2021-07-18 11:26:01,Morning,2021,July,18,Sunday
Venus Podcast,https://www.youtube.com/channel/UCTBhsXf_XRxk8w4rMj6WBOA,ZOE MARTINEZ - Venus Podcast #94Venus Podcast18 de jul. de 2021 11:00:10 BRT,https://www.youtube.com/watch?v=mjj2zKnjCIc,2021-07-18 11:00:10,Morning,2021,July,18,Sunday
Os Sócios Podcast,https://www.youtube.com/channel/UCzJPdSTGj7KPZLjaOatWS4A,COMO É VIVER NUM PAÍS SOCIALISTA? | Os Sócios Podcast #23Os Sócios Podcast18 de jul. de 2021 10:59:59 BRT,https://www.youtube.com/watch?v=mVrVcGrL7hE,2021-07-18 10:59:59,Morning,2021,July,18,Sunday
Cortes Podcast,https://www.youtube.com/channel/UCGBPo-CBLiMKxivaiF-MBiA,COMO É MORAR EM CUBA | Cortes PodcastCortes Podcast18 de jul. de 2021 10:59:15 BRT,https://www.youtube.com/watch?v=2ezi3M_E9Sw,2021-07-18 10:59:15,Morning,2021,July,18,Sunday
BolsoNews B.N,https://www.youtube.com/channel/UCnfOhnMuGYeDXwMWEDmudCw,Veja o que essa Cubana falou de Bolsonaro e Lula que deixou entrevistadora calada.BolsoNews B.N18 de jul. de 2021 10:58:49 BRT,https://www.youtube.com/watch?v=fA2-ltpQzYI,2021-07-18 10:58:49,Morning,2021,July,18,Sunday
Dp Guru {Durga Prasad patel},https://www.youtube.com/channel/UCC8t2ra4ckQ1b2i_0bQGlPA,amazing video and work machine 385Dp Guru {Durga Prasad patel}18 de jul. de 2021 10:58:29 BRT,https://www.youtube.com/watch?v=aEczQjmuTY4,2021-07-18 10:58:29,Morning,2021,July,18,Sunday
BestCut - Flow e PodPah | Melhores Cortes,https://www.youtube.com/channel/UCcwByV-6d_JWdnEspfLTJpQ,nem quero imaginar o que passou na mente do Monark nessa hora. Kid Bengala no Flow! #ShortsBestCut - Flow e PodPah | Melhores Cortes18 de jul. de 2021 10:58:25 BRT,https://www.youtube.com/watch?v=Jx7K8n02jzQ,2021-07-18 10:58:25,Morning,2021,July,18,Sunday
Youtube Shorts,https://www.youtube.com/channel/UC5C_p7uK58pdtQwrCBUZSqw,Even the gta police is more aggressiveYoutube Shorts18 de jul. de 2021 10:58:00 BRT,https://www.youtube.com/watch?v=36-VxvUTPZ4,2021-07-18 10:58:00,Morning,2021,July,18,Sunday
Tharki Johny,https://www.youtube.com/channel/UCaquryuF9UwWLzzKDRHmPOw,Not Today Bro 😂 | gym comedy video .Tharki Johny18 de jul. de 2021 10:57:35 BRT,https://www.youtube.com/watch?v=Oks-EmS4L50,2021-07-18 10:57:35,Morning,2021,July,18,Sunday
frases para status 30 segundo,https://www.youtube.com/channel/UCkC4dmmebYOhbMg1UPBQ6ng,"Com vocês e assim também, 🥰frases para status 30 segundo18 de jul. de 2021 10:57:25 BRT",https://www.youtube.com/watch?v=DCdzUXrOfwc,2021-07-18 10:57:25,Morning,2021,July,18,Sunday
New TikTok,https://www.youtube.com/channel/UCbBAMLOdEoWig8EYpCvdUgw,Oddly Satisfying Video That Is So Relaxing You Will Find Relief from Stress Part 3 #ShortsNew TikTok18 de jul. de 2021 10:56:57 BRT,https://www.youtube.com/watch?v=NAJ7h0KXgzw,2021-07-18 10:56:57,Morning,2021,July,18,Sunday
MART01,https://www.youtube.com/channel/UCe1rQ-ZZ4jmpwLNwMkn3dmw,cacagoniaMART0118 de jul. de 2021 10:56:45 BRT,https://www.youtube.com/watch?v=UNdTIkDbjrA,2021-07-18 10:56:45,Morning,2021,July,18,Sunday
Fernando Floripa Motorista Uber,https://www.youtube.com/channel/UCAwc4QgjwBmUFFtxJPnOefw,Uber pegou no flagra Viagem para Terceiros #ShortsFernando Floripa Motorista Uber18 de jul. de 2021 10:56:43 BRT,https://www.youtube.com/watch?v=MVHefnUcSds,2021-07-18 10:56:43,Morning,2021,July,18,Sunday
Tim Explica,https://www.youtube.com/channel/UCGxIAAnrhkCy6H2DRz-t6Qw,BRASILEIROS NÃO FALAM “SIM” #shortsTim Explica18 de jul. de 2021 10:56:18 BRT,https://www.youtube.com/watch?v=J1fFyNdDsaM,2021-07-18 10:56:18,Morning,2021,July,18,Sunday
Celebrity,https://www.youtube.com/channel/UCL7eCzTJi33U6ayOJphDf1g,It Looked Easy tiktok prabesh1Celebrity18 de jul. de 2021 10:56:06 BRT,https://www.youtube.com/watch?v=hP71h32r150,2021-07-18 10:56:06,Morning,2021,July,18,Sunday
DOIDO SHITPOST,https://www.youtube.com/channel/UCK78XncyU3fHNMwtyb8665g,🔥Shitpost 30 segundos 🔥DOIDO SHITPOST18 de jul. de 2021 10:56:00 BRT,https://www.youtube.com/watch?v=nGsofuu8RhM,2021-07-18 10:56:00,Morning,2021,July,18,Sunday
X12 Official,https://www.youtube.com/channel/UCjo9WNLwN5bSD6Eb0ou120g,Satisfying|AMAZING Trimming Horse Hooves Technology #X12 Official18 de jul. de 2021 10:55:42 BRT,https://www.youtube.com/watch?v=Qw69QvT9GhM,2021-07-18 10:55:42,Morning,2021,July,18,Sunday
Youtube Shorts,https://www.youtube.com/channel/UC5C_p7uK58pdtQwrCBUZSqw,TRUCKED 😳🔥Youtube Shorts18 de jul. de 2021 10:55:27 BRT,https://www.youtube.com/watch?v=jv4VReLEDVc,2021-07-18 10:55:27,Morning,2021,July,18,Sunday
Flávio M Machado,https://www.youtube.com/channel/UCtHCNo74e8hudzwbu29jcrw,💥💢•quem é o culpado•seta para à esquerda e vira para a direita•ambos•leis de trânsito • moto•carroFlávio M Machado18 de jul. de 2021 10:55:19 BRT,https://www.youtube.com/watch?v=o2Y0Kfos2X8,2021-07-18 10:55:19,Morning,2021,July,18,Sunday
Slay Queen,https://www.youtube.com/channel/UCFr9oV5bvG_HfyuAR_9JAbw,Here it goes 🤣 have you seen this cool feature! TikTok swefiehvillageSlay Queen18 de jul. de 2021 10:55:08 BRT,https://www.youtube.com/watch?v=QAe3NM0Nvg8,2021-07-18 10:55:08,Morning,2021,July,18,Sunday
Wooden Projects Ideas,https://www.youtube.com/channel/UCjidABOthHhFJW5YpkRXs3A,Amazing woodworking projects ideas - Wooden Projects IdeasWooden Projects Ideas18 de jul. de 2021 10:54:59 BRT,https://www.youtube.com/watch?v=mw7ApXupJ8c,2021-07-18 10:54:59,Morning,2021,July,18,Sunday
ALL in one,https://www.youtube.com/channel/UCPi6KG1dyhFivF6DMFfFBjQ,iphone packing yo customer | iphoneALL in one18 de jul. de 2021 10:54:46 BRT,https://www.youtube.com/watch?v=UXmLv-6m3Zw,2021-07-18 10:54:46,Morning,2021,July,18,Sunday
AMAZING TECHNOLOGY,https://www.youtube.com/channel/UCvxhThWY5sZbkOJozKQP4dQ,Amazing Technology and vediosAMAZING TECHNOLOGY18 de jul. de 2021 10:54:44 BRT,https://www.youtube.com/watch?v=W3q_dNn0EyI,2021-07-18 10:54:44,Morning,2021,July,18,Sunday
Min Cute,https://www.youtube.com/channel/UCLU3CnqBj5Z55k9Bi7R6omQ,"Million-view videos, Satisfying viewers on Tik Tok #1 ||  Best Oddly Satisfying VideosMin Cute18 de jul. de 2021 10:54:32 BRT",https://www.youtube.com/watch?v=l3RofC9JTi0,2021-07-18 10:54:32,Morning,2021,July,18,Sunday
Gadget Central,https://www.youtube.com/channel/UCmZmbOZrNXQriZ1CVUEhFrA,COOLEST Amazon GadgetsGadget Central18 de jul. de 2021 10:54:21 BRT,https://www.youtube.com/watch?v=umA2LTCxnGQ,2021-07-18 10:54:21,Morning,2021,July,18,Sunday
LifeOfADoctor,https://www.youtube.com/channel/UCSRyJGrb1DrFcLb0QaiTQoQ,Doctor Reacts to Ear IrrigationLifeOfADoctor18 de jul. de 2021 10:54:10 BRT,https://www.youtube.com/watch?v=dbR4MQlpz2A,2021-07-18 10:54:10,Morning,2021,July,18,Sunday
Tim Explica,https://www.youtube.com/channel/UCGxIAAnrhkCy6H2DRz-t6Qw,MEU IRMÃO Gringo Avaliando as COMIDAS BRASILEIRAS #shortsTim Explica18 de jul. de 2021 10:53:45 BRT,https://www.youtube.com/watch?v=XFydX1EbB2U,2021-07-18 10:53:45,Morning,2021,July,18,Sunday
Carsrlite,https://www.youtube.com/channel/UCySuklxiWyKK2oKQphKPB5A,Lamborghini Aventador Melts front grill of Audi R8!Carsrlite18 de jul. de 2021 10:53:33 BRT,https://www.youtube.com/watch?v=5NRmRIiV2LQ,2021-07-18 10:53:33,Morning,2021,July,18,Sunday
Viral Valley,https://www.youtube.com/channel/UCj4S_HA9wpUZMJf5DCOMfCA,Satisfying Foam tiktok nzsghp 41Viral Valley18 de jul. de 2021 10:53:20 BRT,https://www.youtube.com/watch?v=Ua5KEPCus6M,2021-07-18 10:53:20,Morning,2021,July,18,Sunday
U2 Teach,https://www.youtube.com/channel/UCvpVGMif5ZZf7TM0do9awIg,Amazing Life hack {#82}U2 Teach18 de jul. de 2021 10:53:08 BRT,https://www.youtube.com/watch?v=c2suuwX8lWs,2021-07-18 10:53:08,Morning,2021,July,18,Sunday
Smart Welding,https://www.youtube.com/channel/UCLCPucLBTx42_QzSkXDaifQ,Tig weldingSmart Welding18 de jul. de 2021 10:52:51 BRT,https://www.youtube.com/watch?v=tcq4Jflzucw,2021-07-18 10:52:51,Morning,2021,July,18,Sunday
Creative Workers,https://www.youtube.com/channel/UCpcvDzLA_5dbcLc1y7eAitg,Brick Machine ||• CREATIVE TOOLSCreative Workers18 de jul. de 2021 10:52:36 BRT,https://www.youtube.com/watch?v=bvH69v4ESAo,2021-07-18 10:52:36,Morning,2021,July,18,Sunday
D4RK,https://www.youtube.com/channel/UC_X3NUCl7Ud88gXuI7LrF-w,ele queima🤔📸🔎🧐???D4RK18 de jul. de 2021 10:52:24 BRT,https://www.youtube.com/watch?v=UaF29yo8VdM,2021-07-18 10:52:24,Morning,2021,July,18,Sunday
FUNK DOPIRA,https://www.youtube.com/channel/UCx1RM3s2S1VC6uq314a_eNw,MC JOTTAPE TROLLANDO SUA NAMORADAFUNK DOPIRA18 de jul. de 2021 10:52:19 BRT,https://www.youtube.com/watch?v=d37nwQPDqNA,2021-07-18 10:52:19,Morning,2021,July,18,Sunday
Sam Hairstyle,https://www.youtube.com/channel/UCDWfawQV8iTC-zsgowUStEA,"Medium length haircut, Surfer hairstyle, Layered undercut hairstyle men, #Hair #Shorts #Sam Hairstyle18 de jul. de 2021 10:52:07 BRT",https://www.youtube.com/watch?v=LkMXwTmK5wA,2021-07-18 10:52:07,Morning,2021,July,18,Sunday
Tim Explica,https://www.youtube.com/channel/UCGxIAAnrhkCy6H2DRz-t6Qw,ISSO é Illegal nos Estados Unidos mas SUPER Comum no BRASIL #shortsTim Explica18 de jul. de 2021 10:51:39 BRT,https://www.youtube.com/watch?v=5qslIQ8bvGE,2021-07-18 10:51:39,Morning,2021,July,18,Sunday
smartcool,https://www.youtube.com/channel/UCHmts9qVXG4P_FeBVWCkAZQ,Comment Me Yes Or Nosmartcool18 de jul. de 2021 10:51:28 BRT,https://www.youtube.com/watch?v=14JabOHUCnQ,2021-07-18 10:51:28,Morning,2021,July,18,Sunday
ShortsGoneViral,https://www.youtube.com/channel/UClQg1F5eIIt0VRbM6NheW-g,Spider Arcade tiktok jacobrosstechShortsGoneViral18 de jul. de 2021 10:51:10 BRT,https://www.youtube.com/watch?v=uW-fud0pf-8,2021-07-18 10:51:10,Morning,2021,July,18,Sunday
EU SOU ZOEIRO,https://www.youtube.com/channel/UCkI7QArukRbGCblXSp58cCw,O Peixe que mais produz caviar no mundo!EU SOU ZOEIRO18 de jul. de 2021 10:50:55 BRT,https://www.youtube.com/watch?v=ztIWhs3B4iY,2021-07-18 10:50:55,Morning,2021,July,18,Sunday
